location,property_type,developer,furnishing_status,bedrooms,bathrooms,size_sqft,price,price_per_sqft,listing_category,year_built,property_age,squarefeet,neighborhood,yearbuilt
Rural,Unknown,Unknown,Unknown,5,3,1034,117295.37520060757,113.43846731199957,Budget,1993,32,1034,Rural,1993
Urban,Unknown,Unknown,Unknown,2,1,1205,180760.867453112,150.00901863328798,Budget,1996,29,1205,Urban,1996
Suburb,Unknown,Unknown,Unknown,4,1,2104,202715.1601476104,96.34750957586046,Mid-Range,1954,71,2104,Suburb,1954
Rural,Unknown,Unknown,Unknown,5,3,2955,378403.5710107572,128.05535397995166,High-End,2012,13,2955,Rural,2012
Suburb,Unknown,Unknown,Unknown,2,1,2585,257776.0924243205,99.7199583846501,Mid-Range,1961,64,2585,Suburb,1961
Suburb,Unknown,Unknown,Unknown,2,2,2895,266046.87792908505,91.89874885287912,High-End,2021,4,2895,Suburb,2021
Rural,Unknown,Unknown,Unknown,5,1,2411,337645.67623531295,140.0438308732115,High-End,1958,67,2411,Rural,1958
Rural,Unknown,Unknown,Unknown,5,2,2025,240145.9702539115,118.5906025945242,Mid-Range,1993,32,2025,Rural,1993
Suburb,Unknown,Unknown,Unknown,5,1,2021,92641.62211021264,45.839496343499576,Budget,1971,54,2021,Suburb,1971
Urban,Unknown,Unknown,Unknown,2,1,2413,152037.88283583574,63.00782546035464,Budget,1995,30,2413,Urban,1995
Rural,Unknown,Unknown,Unknown,5,3,1565,149848.61640852437,95.74991463803474,Budget,1957,68,1565,Rural,1957
Urban,Unknown,Unknown,Unknown,4,3,2129,220384.43445019663,103.51546944584153,Mid-Range,2005,20,2129,Urban,2005
Rural,Unknown,Unknown,Unknown,2,1,2795,305658.56385268376,109.35905683459168,High-End,1977,48,2795,Rural,1977
Urban,Unknown,Unknown,Unknown,4,2,2845,318297.25657762005,111.87952779529704,High-End,1996,29,2845,Urban,1996
Rural,Unknown,Unknown,Unknown,4,3,2500,230749.27633657065,92.29971053462826,Mid-Range,1984,41,2500,Rural,1984
Urban,Unknown,Unknown,Unknown,5,3,1702,201925.84088885225,118.64032954691672,Mid-Range,1970,55,1702,Urban,1970
Suburb,Unknown,Unknown,Unknown,4,3,1401,149576.68114338422,106.76422636929638,Budget,1982,43,1401,Suburb,1982
Rural,Unknown,Unknown,Unknown,5,1,1729,171877.06629783398,99.40836685820358,Budget,2019,6,1729,Rural,2019
Urban,Unknown,Unknown,Unknown,2,2,2579,245276.73391788083,95.10536406276884,Mid-Range,1997,28,2579,Urban,1997
Suburb,Unknown,Unknown,Unknown,4,2,1161,288571.1271841178,248.55394244971387,High-End,2003,22,1161,Suburb,2003
Urban,Unknown,Unknown,Unknown,5,1,1201,87804.5603712397,73.10954235740192,Budget,1951,74,1201,Urban,1951
Rural,Unknown,Unknown,Unknown,3,2,2981,267127.0106286388,89.60986602772184,High-End,1982,43,2981,Rural,1982
Suburb,Unknown,Unknown,Unknown,5,3,1995,221217.769331586,110.88609991558195,Mid-Range,1965,60,1995,Suburb,1965
Suburb,Unknown,Unknown,Unknown,3,2,1269,218784.6329858073,172.40711819212552,Mid-Range,1999,26,1269,Suburb,1999
Rural,Unknown,Unknown,Unknown,5,3,2886,315607.02376495936,109.35794309250151,High-End,1969,56,2886,Rural,1969
Urban,Unknown,Unknown,Unknown,3,3,1815,217967.92847377845,120.09252257508454,Mid-Range,2016,9,1815,Urban,2016
Rural,Unknown,Unknown,Unknown,4,1,2294,353343.63401135267,154.029483004077,High-End,1994,31,2294,Rural,1994
Urban,Unknown,Unknown,Unknown,3,3,1455,187002.96390785457,128.5243738198313,Budget,1984,41,1455,Urban,1984
Rural,Unknown,Unknown,Unknown,4,2,2485,222855.0832963985,89.68011400257484,Mid-Range,1978,47,2485,Rural,1978
Rural,Unknown,Unknown,Unknown,4,2,2750,366548.8223262025,133.29048084589184,High-End,1994,31,2750,Rural,1994
Rural,Unknown,Unknown,Unknown,5,2,2275,259473.2793370484,114.05418871958172,Mid-Range,1964,61,2275,Rural,1964
Urban,Unknown,Unknown,Unknown,4,2,2016,212440.4223945249,105.37719364807784,Mid-Range,1952,73,2016,Urban,1952
Urban,Unknown,Unknown,Unknown,2,2,2725,237066.6856356926,86.9969488571349,Mid-Range,2018,7,2725,Urban,2018
Urban,Unknown,Unknown,Unknown,3,3,1295,158357.6480582802,122.2838981145021,Budget,1983,42,1295,Urban,1983
Suburb,Unknown,Unknown,Unknown,5,1,2748,255619.99775314287,93.02037763942609,Mid-Range,2020,5,2748,Suburb,2020
Suburb,Unknown,Unknown,Unknown,4,1,1719,190659.43496867083,110.91299300097198,Mid-Range,1953,72,1719,Suburb,1953
Urban,Unknown,Unknown,Unknown,3,2,2772,284985.43569363654,102.80859873507812,High-End,1968,57,2772,Urban,1968
Urban,Unknown,Unknown,Unknown,3,3,1337,214741.228522745,160.614232253362,Mid-Range,1970,55,1337,Urban,1970
Suburb,Unknown,Unknown,Unknown,2,1,1878,128693.02879404814,68.52663940045161,Budget,1964,61,1878,Suburb,1964
Rural,Unknown,Unknown,Unknown,3,2,2076,184051.98271688656,88.6570244300995,Budget,1966,59,2076,Rural,1966
Rural,Unknown,Unknown,Unknown,5,3,1791,242865.26019000952,135.6031603517641,Mid-Range,2003,22,1791,Rural,2003
Urban,Unknown,Unknown,Unknown,5,1,2945,295356.77549321775,100.29092546459007,High-End,1986,39,2945,Urban,1986
Rural,Unknown,Unknown,Unknown,4,3,1216,107868.93208831896,88.7080033621044,Budget,2003,22,1216,Rural,2003
Urban,Unknown,Unknown,Unknown,4,2,1763,207380.13609180792,117.62911860000449,Mid-Range,1971,54,1763,Urban,1971
Suburb,Unknown,Unknown,Unknown,5,3,1187,132828.81413178446,111.90296051540392,Budget,1957,68,1187,Suburb,1957
Urban,Unknown,Unknown,Unknown,3,1,1379,84493.6913127725,61.27171233703589,Budget,1960,65,1379,Urban,1960
Suburb,Unknown,Unknown,Unknown,3,1,1492,53360.86540604882,35.764655097887946,Budget,2019,6,1492,Suburb,2019
Rural,Unknown,Unknown,Unknown,2,3,2064,296199.3496255564,143.5074368340874,High-End,1958,67,2064,Rural,1958
Urban,Unknown,Unknown,Unknown,4,1,2180,273924.557395998,125.65346669541192,High-End,1951,74,2180,Urban,1951
Urban,Unknown,Unknown,Unknown,3,3,1014,204340.7258965054,201.51945354684952,Mid-Range,1981,44,1014,Urban,1981
Urban,Unknown,Unknown,Unknown,3,3,2836,228582.09695971967,80.6001752326233,Mid-Range,2000,25,2836,Urban,2000
Suburb,Unknown,Unknown,Unknown,4,2,1064,237384.3466275038,223.10558893562387,Mid-Range,1986,39,1064,Suburb,1986
Rural,Unknown,Unknown,Unknown,5,2,2880,312245.8679787154,108.41870415927617,High-End,1955,70,2880,Rural,1955
Urban,Unknown,Unknown,Unknown,3,3,2862,219408.6249604324,76.66269215948023,Mid-Range,1961,64,2862,Urban,1961
Rural,Unknown,Unknown,Unknown,2,1,1520,201334.94160447217,132.45719842399484,Mid-Range,2003,22,1520,Rural,2003
Suburb,Unknown,Unknown,Unknown,3,2,2367,221413.5776081872,93.54185788263084,Mid-Range,1995,30,2367,Suburb,1995
Rural,Unknown,Unknown,Unknown,3,1,2152,306839.62194227794,142.58346744529644,High-End,1982,43,2152,Rural,1982
Urban,Unknown,Unknown,Unknown,2,3,1647,126756.3572316613,76.96196553227766,Budget,1967,58,1647,Urban,1967
Urban,Unknown,Unknown,Unknown,5,1,2495,328702.8347369156,131.74462314104832,High-End,1987,38,2495,Urban,1987
Suburb,Unknown,Unknown,Unknown,2,1,2086,141074.02839361285,67.6289685491912,Budget,2008,17,2086,Suburb,2008
Rural,Unknown,Unknown,Unknown,2,3,2162,220712.46134879728,102.08716991156211,Mid-Range,1956,69,2162,Rural,1956
Urban,Unknown,Unknown,Unknown,4,2,2522,319176.8398973249,126.55703405920893,High-End,1964,61,2522,Urban,1964
Suburb,Unknown,Unknown,Unknown,3,2,1592,245299.2098929523,154.08241827446753,Mid-Range,1950,75,1592,Suburb,1950
Rural,Unknown,Unknown,Unknown,5,1,1391,51154.13113008726,36.77507629769034,Budget,1995,30,1391,Rural,1995
Urban,Unknown,Unknown,Unknown,3,3,2698,314018.0283390546,116.38918767199948,High-End,1981,44,2698,Urban,1981
Suburb,Unknown,Unknown,Unknown,5,3,1418,222904.25800629333,157.19623272658202,Mid-Range,1998,27,1418,Suburb,1998
Suburb,Unknown,Unknown,Unknown,2,2,1288,115697.77821526628,89.82746755843655,Budget,1959,66,1288,Suburb,1959
Suburb,Unknown,Unknown,Unknown,4,3,1378,140714.77037514705,102.11521797906173,Budget,1966,59,1378,Suburb,1966
Suburb,Unknown,Unknown,Unknown,2,3,2796,178353.14814536367,63.78867959419301,Budget,1969,56,2796,Suburb,1969
Suburb,Unknown,Unknown,Unknown,3,1,2513,280022.0311214733,111.42937967428304,High-End,2000,25,2513,Suburb,2000
Rural,Unknown,Unknown,Unknown,4,1,1230,136418.4807787985,110.90933396650284,Budget,1971,54,1230,Rural,1971
Urban,Unknown,Unknown,Unknown,4,2,2017,195803.9703359068,97.07683209514468,Mid-Range,1969,56,2017,Urban,1969
Rural,Unknown,Unknown,Unknown,3,2,1040,98933.439065306,95.12830679356345,Budget,2014,11,1040,Rural,2014
Suburb,Unknown,Unknown,Unknown,5,1,2051,185052.5631740863,90.22553055781877,Budget,1953,72,2051,Suburb,1953
Urban,Unknown,Unknown,Unknown,4,3,1134,160764.43940877952,141.767583252892,Budget,2003,22,1134,Urban,2003
Suburb,Unknown,Unknown,Unknown,5,3,1200,156394.27348181067,130.32856123484223,Budget,2014,11,1200,Suburb,2014
Suburb,Unknown,Unknown,Unknown,5,1,2863,333464.1490294491,116.47368111402344,High-End,2000,25,2863,Suburb,2000
Urban,Unknown,Unknown,Unknown,5,1,1779,211994.3281859909,119.16488374704379,Mid-Range,1960,65,1779,Urban,1960
Rural,Unknown,Unknown,Unknown,4,1,1929,252779.69087222763,131.04183041587746,Mid-Range,1976,49,1929,Rural,1976
Urban,Unknown,Unknown,Unknown,2,1,2056,288750.4043072761,140.4428036513989,High-End,1975,50,2056,Urban,1975
Rural,Unknown,Unknown,Unknown,4,3,2071,185482.0606316232,89.56159373810874,Budget,1966,59,2071,Rural,1966
Suburb,Unknown,Unknown,Unknown,2,3,1502,119671.3689479028,79.67467972563435,Budget,1991,34,1502,Suburb,1991
Suburb,Unknown,Unknown,Unknown,4,2,1406,148891.4193350198,105.89716880157881,Budget,1997,28,1406,Suburb,1997
Rural,Unknown,Unknown,Unknown,2,1,2597,235810.22355681533,90.80101022595892,Mid-Range,1982,43,2597,Rural,1982
Suburb,Unknown,Unknown,Unknown,2,2,2751,357765.11724448414,130.04911568320034,High-End,2010,15,2751,Suburb,2010
Rural,Unknown,Unknown,Unknown,4,3,1804,216771.35995628755,120.1615077363013,Mid-Range,1978,47,1804,Rural,1978
Rural,Unknown,Unknown,Unknown,5,2,1098,102580.49836622812,93.4248619000256,Budget,2012,13,1098,Rural,2012
Urban,Unknown,Unknown,Unknown,5,3,1683,208774.14233121456,124.04880708925405,Mid-Range,1986,39,1683,Urban,1986
Suburb,Unknown,Unknown,Unknown,2,3,2895,302454.6401474587,104.47483252071112,High-End,2005,20,2895,Suburb,2005
Urban,Unknown,Unknown,Unknown,3,2,1725,208558.78172335384,120.90364157875585,Mid-Range,1965,60,1725,Urban,1965
Urban,Unknown,Unknown,Unknown,3,2,2570,276434.5399454463,107.56207779978456,High-End,2005,20,2570,Urban,2005
Suburb,Unknown,Unknown,Unknown,4,1,1960,220786.7119550845,112.64628160973699,Mid-Range,1991,34,1960,Suburb,1991
Urban,Unknown,Unknown,Unknown,4,3,2762,354268.47524739604,128.26519741035338,High-End,1973,52,2762,Urban,1973
Suburb,Unknown,Unknown,Unknown,4,1,1612,142420.97226095255,88.35047907006982,Budget,2018,7,1612,Suburb,2018
Suburb,Unknown,Unknown,Unknown,3,1,2966,299146.59537507093,100.85859587831116,High-End,1980,45,2966,Suburb,1980
Urban,Unknown,Unknown,Unknown,5,3,2485,321647.4526525699,129.43559462880077,High-End,1960,65,2485,Urban,1960
Suburb,Unknown,Unknown,Unknown,4,2,1642,216976.90806023663,132.14184412925496,Mid-Range,1951,74,1642,Suburb,1951
Suburb,Unknown,Unknown,Unknown,4,1,2792,243179.70337319985,87.09874762650425,Mid-Range,2020,5,2792,Suburb,2020
Suburb,Unknown,Unknown,Unknown,5,1,2028,184210.7735555856,90.83371477099881,Budget,1984,41,2028,Suburb,1984
Suburb,Unknown,Unknown,Unknown,2,3,2241,175779.56815188617,78.43800453006969,Budget,2011,14,2241,Suburb,2011
Urban,Unknown,Unknown,Unknown,4,2,1502,162271.08640489963,108.0366753694405,Budget,2003,22,1502,Urban,2003
Rural,Unknown,Unknown,Unknown,3,2,1766,240727.0397208556,136.31202702200204,Mid-Range,2018,7,1766,Rural,2018
Urban,Unknown,Unknown,Unknown,3,1,1397,186900.94639311853,133.78736320194596,Budget,2000,25,1397,Urban,2000
Rural,Unknown,Unknown,Unknown,4,3,1870,208692.1497994106,111.60008010663668,Mid-Range,1958,67,1870,Rural,1958
Rural,Unknown,Unknown,Unknown,3,1,1794,114333.69387419586,63.73115600568331,Budget,1963,62,1794,Rural,1963
Rural,Unknown,Unknown,Unknown,5,2,1392,225281.32417764852,161.84003173681646,Mid-Range,2005,20,1392,Rural,2005
Suburb,Unknown,Unknown,Unknown,2,1,1206,110852.45257182162,91.91745652721526,Budget,1983,42,1206,Suburb,1983
Rural,Unknown,Unknown,Unknown,2,3,2038,206119.18171087172,101.13796943614904,Mid-Range,1950,75,2038,Rural,1950
Suburb,Unknown,Unknown,Unknown,4,1,2881,292218.3734233528,101.4294944197684,High-End,1987,38,2881,Suburb,1987
Suburb,Unknown,Unknown,Unknown,4,2,2577,209166.2973385366,81.16658802426721,Mid-Range,1966,59,2577,Suburb,1966
Suburb,Unknown,Unknown,Unknown,2,3,1891,283220.10867648444,149.7726645565756,High-End,1965,60,1891,Suburb,1965
Urban,Unknown,Unknown,Unknown,2,3,2484,354538.82144245284,142.72899413947377,High-End,1997,28,2484,Urban,1997
Rural,Unknown,Unknown,Unknown,4,3,2714,290954.49181524914,107.20504488402695,High-End,1999,26,2714,Rural,1999
Urban,Unknown,Unknown,Unknown,3,3,2598,207377.55545532453,79.82199979034816,Mid-Range,2020,5,2598,Urban,2020
Suburb,Unknown,Unknown,Unknown,4,3,1863,267934.0925699399,143.8186218840257,High-End,1990,35,1863,Suburb,1990
Urban,Unknown,Unknown,Unknown,5,1,1742,235034.89983819608,134.9224453720988,Mid-Range,1993,32,1742,Urban,1993
Suburb,Unknown,Unknown,Unknown,4,3,2264,246611.88309182983,108.92751019957149,Mid-Range,1964,61,2264,Suburb,1964
Urban,Unknown,Unknown,Unknown,4,2,1563,314867.65157339314,201.45083274049466,High-End,2010,15,1563,Urban,2010
Suburb,Unknown,Unknown,Unknown,4,3,2020,278092.75713699666,137.66968175098845,High-End,1999,26,2020,Suburb,1999
Suburb,Unknown,Unknown,Unknown,4,2,1095,88443.38397499491,80.77021367579444,Budget,2001,24,1095,Suburb,2001
Urban,Unknown,Unknown,Unknown,4,2,2923,235396.4544878884,80.53248528494301,Mid-Range,2001,24,2923,Urban,2001
Suburb,Unknown,Unknown,Unknown,4,2,2757,280503.8129283642,101.74240584996888,High-End,1985,40,2757,Suburb,1985
Rural,Unknown,Unknown,Unknown,3,2,1484,273072.3372618648,184.01100893656658,High-End,1982,43,1484,Rural,1982
Urban,Unknown,Unknown,Unknown,4,2,2430,252666.84831969367,103.97812688053237,Mid-Range,1994,31,2430,Urban,1994
Urban,Unknown,Unknown,Unknown,2,1,1230,133914.40680878342,108.87350147055562,Budget,1951,74,1230,Urban,1951
Suburb,Unknown,Unknown,Unknown,4,2,1748,142717.8302268369,81.64635596500968,Budget,1950,75,1748,Suburb,1950
Urban,Unknown,Unknown,Unknown,3,2,2678,266197.0443802551,99.4014355415441,High-End,2019,6,2678,Urban,2019
Rural,Unknown,Unknown,Unknown,5,2,2194,245433.69445927496,111.86585891489287,Mid-Range,1996,29,2194,Rural,1996
Urban,Unknown,Unknown,Unknown,2,1,1540,177796.40298151918,115.4522097282592,Budget,2013,12,1540,Urban,2013
Rural,Unknown,Unknown,Unknown,4,3,2059,226582.27427106167,110.04481509036506,Mid-Range,1967,58,2059,Rural,1967
Urban,Unknown,Unknown,Unknown,4,2,1524,170745.4653213651,112.03770690378288,Budget,2003,22,1524,Urban,2003
Rural,Unknown,Unknown,Unknown,2,1,2183,194059.37069774355,88.89572638467409,Mid-Range,1984,41,2183,Rural,1984
Urban,Unknown,Unknown,Unknown,4,1,2862,347187.40927735553,121.30936732262597,High-End,2008,17,2862,Urban,2008
Rural,Unknown,Unknown,Unknown,3,1,2722,345978.9788809702,127.10469466604343,High-End,1985,40,2722,Rural,1985
Suburb,Unknown,Unknown,Unknown,4,3,2266,323981.5079872238,142.9750697207519,High-End,1975,50,2266,Suburb,1975
Urban,Unknown,Unknown,Unknown,5,1,2109,185909.90163690777,88.15073572162531,Budget,1994,31,2109,Urban,1994
Urban,Unknown,Unknown,Unknown,3,2,2819,231642.41525201904,82.17183939411814,Mid-Range,2018,7,2819,Urban,2018
